Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2025-02-01,"Ovos Na Chapa",5.9,"Led P1, followed P2 w/ Henrique. Got spooked by gathering clouds so we skipped town. Weirdly felt most sketched out on this climb out of all my climbing on this trip so far! Damn friction slab, man",https://www.mountainproject.com/route/200446767/ovos-na-chapa,2,"International > South America > Brazil > Rio de Janeiro > Morro Dona Marta",3.0,3,Lead,Onsight,Trad,5.9,735,2400
2025-02-01,"Fissura Esquecida",5.10a,"So fun!! The nut in the flake halfway up was way better than I thought; didn&#39;t even pull out when I lowered *shock and awe*",https://www.mountainproject.com/route/200446659/fissura-esquecida,1,"International > South America > Brazil > Rio de Janeiro > Morro Dona Marta",4.0,4,Lead,Onsight,Trad,5.10a,100,2600
2025-01-31,"Passagem dos Olhos",5.8,"LRS with revo. Linked pitches 2&3. Learned some tricks for LRS traversing! Saw a fox briefly on the approach trail from pitch 2 so cute. Beautiful setting!! 6h13m gate to gate, and I took several long snack breaks!",https://www.mountainproject.com/route/200443287/passagem-dos-olhos,11,"International > South America > Brazil > Rio de Janeiro > Pedra da Gávea > Cabeça Imperador",4.0,4,Lead,Onsight,Sport,5.8,475,2100
2025-01-30,"Inversão Feminina",5.7,"TR solo. No falls",https://www.mountainproject.com/route/200440945/inversao-feminina,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Praia Vermelha Boulders & Bolted Highballs > Graalzinho",2.0,2,TR,,Sport,5.7,45,1800
2025-01-30,"Via do Crico",5.8,"TR solo. No falls ",https://www.mountainproject.com/route/200440933/via-do-crico,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Praia Vermelha Boulders & Bolted Highballs > Graalzinho",4.0,4,TR,,Sport,5.8,45,2100
2025-01-30,Rapunzel,5.9,"TR solo. No falls",https://www.mountainproject.com/route/200440913/rapunzel,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Praia Vermelha Boulders & Bolted Highballs > Graalzinho",2.0,2,TR,,Sport,5.9,35,2400
2025-01-30,"Para os Baixinhos",5.9,"TR solo. No falls",https://www.mountainproject.com/route/200440901/para-os-baixinhos,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Praia Vermelha Boulders & Bolted Highballs > Graalzinho",3.0,3,TR,,Sport,5.9,35,2400
2025-01-30,"Formiga Atômica",5.6,"TR solo. No falls ",https://www.mountainproject.com/route/200440881/formiga-atomica,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Praia Vermelha Boulders & Bolted Highballs > Graalzinho",2.0,2,TR,,Sport,5.6,45,1600
2025-01-30,Graalzinho,5.5,"LRS with revo. ",https://www.mountainproject.com/route/200440869/graalzinho,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Praia Vermelha Boulders & Bolted Highballs > Graalzinho",2.0,2,Lead,Redpoint,Sport,5.5,45,1500
2025-01-29,Infravermelho,5.6,"LRS with revo. Got rained off at the top of P1 by a lightning storm. Still worth it!",https://www.mountainproject.com/route/200438295/infravermelho,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Morro da Urca > Face Sul (South Face)",4.0,4,Lead,Onsight,Trad,5.6,310,1600
2025-01-23,Costao,5.7,"Guided Sigrid",https://www.mountainproject.com/route/107546351/costao,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Pao de Acucar (Sugarloaf)",3.1,-1,Lead,Redpoint,Sport,,1000,1800
2025-01-23,Coringa,5.6,"Guided Sigrid",https://www.mountainproject.com/route/107546334/coringa,4,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Pao de Acucar (Sugarloaf)",2.9,-1,Lead,Redpoint,Sport,,330,1600
2025-01-20,Kakaroots,5.9,"LRS w/ revo. Started 15 minutes before sunset to beat the heat, climbed most of it in the dark by headlamp. Crossed paths with two women rapping down as I was finishing up P1. Rigged P3 to rap after leading it so I didn&#39;t have to reclimb. Beautiful views of the city the whole way up!",https://www.mountainproject.com/route/200408777/kakaroots,5,"International > South America > Brazil > Rio de Janeiro > Cantagalo",3.0,4,Lead,Onsight,Sport,5.9,250,2400
2025-01-18,CERJ,"5.9 PG13","Swung leads with Henrique, I took evens plus the 9th pitch. Had to traverse a water streak twice on the crux pitch! Such an incredible climb, absolute classic!! Followed the A0 pitch, but got it clean. Would love to come back and lead odds to lead the 5.10 pitch too. 6 hours base to summit ",https://www.mountainproject.com/route/122909655/cerj,9,"International > South America > Brazil > Rio de Janeiro > Salinas / Três Picos > Capacete",4.0,4,Lead,Onsight,Trad,,1312,2400
2025-01-17,K3,5.10d,"Proud onsight! Was seriously touch and go through the crux. Absolutely incredible movement! W/ Johannes. ",https://www.mountainproject.com/route/200395793/k3,1,"International > South America > Brazil > Rio de Janeiro > Corcovado > East Face",4.0,4,Lead,Onsight,Trad,5.10d,100,3500
2025-01-17,K2,"5.9- PG13","Sick climb! Skipped P2 to do K3 instead ",https://www.mountainproject.com/route/108582866/k2,4,"International > South America > Brazil > Rio de Janeiro > Corcovado > East Face",3.6,-1,Lead,Redpoint,Trad,,500,2300
2025-01-14,"Via dos Italianos",5.10a/b,"LRS w/ revo. Did italianos to where it meets CEPI in two pitches and two hours. Took a snack break and it started raining so I took CEPI to the summit :( no french freeing on the follow pitches though! ",https://www.mountainproject.com/route/107546273/via-dos-italianos,4,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Pao de Acucar (Sugarloaf)",3.8,-1,Lead,Redpoint,Sport,,700,2800
2025-01-11,"Waldemar Guimaraes (Waldo)","5.11+ PG13","Led pitches 2 & 3 w/ Henrique. Sick climb!! I feel like I got the money pitches. Rapped Segundo to leave. ",https://www.mountainproject.com/route/107546232/waldemar-guimaraes-waldo,4,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Pao de Acucar (Sugarloaf)",3.8,4,Lead,Onsight,"Trad, Sport","5.11+ PG13",1000,5300
2025-01-10,"5.5 sport",5.5,"CEPI via on the Sugarloaf. LRS with revo for most of it, then just daisy soloed the rest. Got a blister on my hand from all the hauling on cable ",https://www.mountainproject.com/route/119629029/55-sport,9,"* In Progress > Generic Area",1.9,-1,Lead,Onsight,Sport,,,1500
2025-01-07,Costao,5.7,"Soloed everything, clipped one bolt through the technical section with a double length sling",https://www.mountainproject.com/route/107546351/costao,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Pao de Acucar (Sugarloaf)",3.1,-1,Solo,,Sport,,1000,1800
